year,date,dap,plot_id,roots_g,soilvol_cm3,roots_gcm3,roots_kgha
2019,2019-08-16,74,2019_43,0.24969999999999998,1900.8,1.3136574074074073e-4,788.1944444444442
2019,2019-08-16,74,2019_45,0.2849,1900.8,1.4988425925925925e-4,899.3055555555554
2019,2019-09-16,105,2019_12,0.2422,1900.8,1.2742003367003366e-4,764.5202020202019
2019,2019-09-16,105,2019_19,0.3515,1900.8,1.8492213804713803e-4,1109.5328282828282
2019,2019-09-16,105,2019_21,0.539,1900.8,2.8356481481481483e-4,1701.3888888888891
2019,2019-09-16,105,2019_27,0.4189,1900.8,2.2038089225589225e-4,1322.2853535353534
2019,2019-09-16,105,2019_31,0.5084,1900.8,2.6746632996633e-4,1604.79797979798
2019,2019-09-16,105,2019_35,0.2726,1900.8,1.4341329966329966e-4,860.4797979797979
2019,2019-09-16,105,2019_43,0.5234,1900.8,2.753577441077441e-4,1652.146464646465
2019,2019-09-16,105,2019_45,0.4087,1900.8,2.1501473063973065e-4,1290.0883838383836
2020,2020-04-27,4,2020_13,0.8723000000000001,1900.8,4.589120370370371e-4,2753.4722222222226
2020,2020-04-27,4,2020_17,0.089,1900.8,4.682239057239057e-5,280.9343434343434
2020,2020-04-27,4,2020_22,0.153,1900.8,8.049242424242425e-5,482.9545454545455
2020,2020-04-27,4,2020_24,0.043,1900.8,2.262205387205387e-5,135.7323232323232
2020,2020-04-27,4,2020_34,0.0575,1900.8,3.0250420875420876e-5,181.50252525252526
2020,2020-04-27,4,2020_39,0.3112,1900.8,1.637205387205387e-4,982.3232323232321
2020,2020-04-27,4,2020_41,0.6489,1900.8,3.413825757575758e-4,2048.2954545454545
2020,2020-04-27,4,2020_44,0.0505,1900.8,2.6567760942760946e-5,159.40656565656568
2020,2020-05-22,27,2020_13,0.0698,1900.8,3.672138047138047e-5,220.3282828282828
2020,2020-05-22,27,2020_17,0.1698,1900.8,8.933080808080809e-5,535.9848484848485
2020,2020-05-22,27,2020_22,0.06659999999999999,1900.8,3.503787878787879e-5,210.2272727272727
2020,2020-05-22,27,2020_24,0.0765,1900.8,4.024621212121212e-5,241.47727272727275
2020,2020-05-22,27,2020_34,0.0835,1900.8,4.392887205387206e-5,263.57323232323233
2020,2020-05-22,27,2020_39,0.0751,1900.8,3.9509680134680133e-5,237.05808080808077
2020,2020-05-22,27,2020_41,0.044,1900.8,2.3148148148148147e-5,138.88888888888889
2020,2020-05-22,27,2020_44,0.0914,1900.8,4.808501683501683e-5,288.510101010101
2020,2020-06-12,50,2020_13,0.0829,1900.8,4.361321548821549e-5,261.67929292929296
2020,2020-06-12,50,2020_17,0.11649999999999999,1900.8,6.128998316498316e-5,367.73989898989896
2020,2020-06-12,50,2020_22,0.0482,1900.8,2.535774410774411e-5,152.14646464646466
2020,2020-06-12,50,2020_24,0.12769999999999998,1900.8,6.718223905723905e-5,403.0934343434343
2020,2020-06-12,50,2020_34,0.13090000000000002,1900.8,6.886574074074076e-5,413.1944444444445
2020,2020-06-12,50,2020_39,0.2786,1900.8,1.4656986531986533e-4,879.4191919191918
2020,2020-06-12,50,2020_41,0.1749,1900.8,9.201388888888889e-5,552.0833333333334
2020,2020-06-12,50,2020_44,0.1067,1900.8,5.6134259259259265e-5,336.80555555555554
2020,2020-06-30,68,2020_13,0.1324,1900.8,6.965488215488215e-5,417.9292929292929
2020,2020-06-30,68,2020_17,0.1067,1900.8,5.6134259259259265e-5,336.80555555555554
2020,2020-06-30,68,2020_22,0.1367,1900.8,7.191708754208753e-5,431.50252525252523
2020,2020-06-30,68,2020_24,0.2257,1900.8,1.1873947811447812e-4,712.4368686868686
2020,2020-06-30,68,2020_34,0.1588,1900.8,8.354377104377105e-5,501.26262626262627
2020,2020-06-30,68,2020_39,0.2397,1900.8,1.2610479797979797e-4,756.6287878787879
2020,2020-06-30,68,2020_41,0.3246,1900.8,1.7077020202020202e-4,1024.6212121212122
2020,2020-06-30,68,2020_44,0.1791,1900.8,9.422348484848486e-5,565.3409090909091
2020,2020-07-28,96,2020_13,0.2057,1900.8,1.0821759259259259e-4,649.3055555555555
2020,2020-07-28,96,2020_17,0.1648,1900.8,8.67003367003367e-5,520.2020202020202
2020,2020-07-28,96,2020_22,0.5245,1900.8,2.759364478114478e-4,1655.6186868686868
2020,2020-07-28,96,2020_24,0.3315,1900.8,1.7440025252525254e-4,1046.4015151515152
2020,2020-07-28,96,2020_34,0.3192,1900.8,1.6792929292929292e-4,1007.5757575757575
2020,2020-07-28,96,2020_39,0.7787999999999999,1900.8,4.097222222222222e-4,2458.333333333333
2020,2020-07-28,96,2020_41,0.3728,1900.8,1.9612794612794613e-4,1176.7676767676767
2020,2020-07-28,96,2020_44,0.25,1900.8,1.3152356902356902e-4,789.141414141414
2020,2020-08-18,117,2020_13,0.2979,1900.8,1.5672348484848484e-4,940.3409090909089
2020,2020-08-18,117,2020_17,0.3275,1900.8,1.7229587542087543e-4,1033.7752525252524
2020,2020-08-18,117,2020_24,0.4241,1900.8,2.2311658249158248e-4,1338.699494949495
2020,2020-08-18,117,2020_34,0.2328,1900.8,1.2247474747474748e-4,734.8484848484849
2020,2020-08-18,117,2020_39,0.18080000000000002,1900.8,9.511784511784513e-5,570.7070707070708
2020,2020-08-18,117,2020_41,0.2512,1900.8,1.3215488215488215e-4,792.9292929292927
2020,2020-08-18,117,2020_44,0.3125,1900.8,1.644044612794613e-4,986.4267676767677
