year,date,doy,plot_id,sensor_type,sensor_name,sensor_depth_cm,sensor_unit,value
2018,2018-05-22,142,2018_13,5TM,5TM Moisture/Temp,15,soilVWC,0.20828427746891975
2018,2018-05-22,142,2018_13,5TM,5TM Moisture/Temp,45,soilT_C,16.43333299954732
2018,2018-05-22,142,2018_13,5TM,5TM Moisture/Temp,45,soilVWC,0.1624265785018603
2018,2018-05-22,142,2018_18,5TM,5TM Moisture/Temp,15,soilT_C,18.824999968210857
2018,2018-05-22,142,2018_18,5TM,5TM Moisture/Temp,15,soilVWC,0.187350203593572
2018,2018-05-22,142,2018_18,5TM,5TM Moisture/Temp,45,soilT_C,16.29166642824809
2018,2018-05-22,142,2018_18,5TM,5TM Moisture/Temp,45,soilVWC,0.2068596382935842
2018,2018-05-22,142,2018_24,5TM,5TM Moisture/Temp,15,soilT_C,18.420833428700764
2018,2018-05-22,142,2018_24,5TM,5TM Moisture/Temp,15,soilVWC,0.23950953409075737
2018,2018-05-22,142,2018_24,5TM,5TE Moisture/Temp/EC,45,soilT_C,15.920833269755045
2018,2018-05-22,142,2018_24,5TM,5TE Moisture/Temp/EC,45,soilVWC,0.25676368176937103
2018,2018-05-22,142,2018_24,5TM,5TE Moisture/Temp/EC,45,mS/cm EC Bulk,23.100000381469727
2018,2018-05-22,142,2018_28,5TM,5TM Moisture/Temp,15,soilT_C,18.645833492279053
2018,2018-05-22,142,2018_28,5TM,5TM Moisture/Temp,15,soilVWC,0.1812341008335352
2018,2018-05-22,142,2018_28,5TM,5TM Moisture/Temp,45,soilT_C,15.699999809265137
2018,2018-05-22,142,2018_28,5TM,5TM Moisture/Temp,45,soilVWC,0.25953980162739754
2018,2018-05-22,142,2018_34,5TM,5TM Moisture/Temp,15,soilT_C,17.479166507720947
2018,2018-05-22,142,2018_34,5TM,5TM Moisture/Temp,15,soilVWC,0.31644538417458534
2018,2018-05-22,142,2018_34,5TM,5TM Moisture/Temp,45,soilT_C,15.870833237965902
2018,2018-05-22,142,2018_34,5TM,5TM Moisture/Temp,45,soilVWC,0.2782753420372804
2018,2018-05-22,142,2018_37,5TM,5TM Moisture/Temp,15,soilT_C,19.34999982515971
2018,2018-05-22,142,2018_37,5TM,5TM Moisture/Temp,15,soilVWC,0.177485761543115
2018,2018-05-22,142,2018_37,5TM,5TM Moisture/Temp,45,soilT_C,16.77499993642171
2018,2018-05-22,142,2018_37,5TM,5TM Moisture/Temp,45,soilVWC,0.1627887679884831
2018,2018-05-22,142,2018_44,5TM,5TM Moisture/Temp,15,soilT_C,18.258333285649616
2018,2018-05-22,142,2018_44,5TM,5TM Moisture/Temp,15,soilVWC,0.3561380070944627
2018,2018-05-22,142,2018_44,5TM,5TM Moisture/Temp,45,soilT_C,15.783333341280619
2018,2018-05-22,142,2018_44,5TM,5TM Moisture/Temp,45,soilVWC,0.37092693025867146
2018,2018-05-22,142,2018_46,5TM,5TM Moisture/Temp,15,soilT_C,19.05833347638448
2018,2018-05-22,142,2018_46,5TM,5TM Moisture/Temp,15,soilVWC,0.17171780578792095
2018,2018-05-22,142,2018_46,5TM,5TM Moisture/Temp,45,soilT_C,16.31666620572408
2018,2018-05-22,142,2018_46,5TM,5TM Moisture/Temp,45,soilVWC,0.23267492031057677
2018,2018-05-23,143,2018_13,5TM,5TM Moisture/Temp,15,soilT_C,21.112500031789143
2018,2018-05-23,143,2018_13,5TM,5TM Moisture/Temp,15,soilVWC,0.2102339304983616
2018,2018-05-23,143,2018_13,5TM,5TM Moisture/Temp,45,soilT_C,17.354166269302368
2018,2018-05-23,143,2018_13,5TM,5TM Moisture/Temp,45,soilVWC,0.16243058008452257
2018,2018-05-23,143,2018_18,5TM,5TM Moisture/Temp,15,soilT_C,21.454166491826374
2018,2018-05-23,143,2018_18,5TM,5TM Moisture/Temp,15,soilVWC,0.19051368348300457
2018,2018-05-23,143,2018_18,5TM,5TM Moisture/Temp,45,soilT_C,16.941666682561237
2018,2018-05-23,143,2018_18,5TM,5TM Moisture/Temp,45,soilVWC,0.20887875060240427
2018,2018-05-23,143,2018_24,5TM,5TM Moisture/Temp,15,soilT_C,20.82083336512248
2018,2018-05-23,143,2018_24,5TM,5TM Moisture/Temp,15,soilVWC,0.2432522556434075
2018,2018-05-23,143,2018_24,5TM,5TE Moisture/Temp/EC,45,soilT_C,16.387500047683716
2018,2018-05-23,143,2018_24,5TM,5TE Moisture/Temp/EC,45,soilVWC,0.26070522889494896
2018,2018-05-23,143,2018_24,5TM,5TE Moisture/Temp/EC,45,mS/cm EC Bulk,23.100000381469727
2018,2018-05-23,143,2018_28,5TM,5TM Moisture/Temp,15,soilT_C,21.183333317438763
2018,2018-05-23,143,2018_28,5TM,5TM Moisture/Temp,15,soilVWC,0.1857482511550188
2018,2018-05-23,143,2018_28,5TM,5TM Moisture/Temp,45,soilT_C,16.137500007947285
2018,2018-05-23,143,2018_28,5TM,5TM Moisture/Temp,45,soilVWC,0.26076240092515945
2018,2018-05-23,143,2018_34,5TM,5TM Moisture/Temp,15,soilT_C,19.483333269755047
2018,2018-05-23,143,2018_34,5TM,5TM Moisture/Temp,15,soilVWC,0.32418254887064296
2018,2018-05-23,143,2018_34,5TM,5TM Moisture/Temp,45,soilT_C,16.570833444595337
2018,2018-05-23,143,2018_34,5TM,5TM Moisture/Temp,45,soilVWC,0.281076792627573
2018,2018-05-23,143,2018_37,5TM,5TM Moisture/Temp,15,soilT_C,22.19166660308838
2018,2018-05-23,143,2018_37,5TM,5TM Moisture/Temp,15,soilVWC,0.18160369247198105
2018,2018-05-23,143,2018_37,5TM,5TM Moisture/Temp,45,soilT_C,17.729166905085247
2018,2018-05-23,143,2018_37,5TM,5TM Moisture/Temp,45,soilVWC,0.16564714660247168
2018,2018-05-23,143,2018_44,5TM,5TM Moisture/Temp,15,soilT_C,20.483333349227905
2018,2018-05-23,143,2018_44,5TM,5TM Moisture/Temp,15,soilVWC,0.36138925328850746
2018,2018-05-23,143,2018_44,5TM,5TM Moisture/Temp,45,soilT_C,16.333333253860474
2018,2018-05-23,143,2018_44,5TM,5TM Moisture/Temp,45,soilVWC,0.3728511333465576
2018,2018-05-23,143,2018_46,5TM,5TM Moisture/Temp,15,soilT_C,21.675000111262005
2018,2018-05-23,143,2018_46,5TM,5TM Moisture/Temp,15,soilVWC,0.17535613166789213
2018,2018-05-23,143,2018_46,5TM,5TM Moisture/Temp,45,soilT_C,17.008333444595337
2018,2018-05-23,143,2018_46,5TM,5TM Moisture/Temp,45,soilVWC,0.2311981189996004
2018,2018-05-24,144,2018_13,5TM,5TM Moisture/Temp,15,soilT_C,21.833333333333332
2018,2018-05-24,144,2018_13,5TM,5TM Moisture/Temp,15,soilVWC,0.20979756315549214
2018,2018-05-24,144,2018_13,5TM,5TM Moisture/Temp,45,soilT_C,18.49333356221517
2018,2018-05-24,144,2018_13,5TM,5TM Moisture/Temp,45,soilVWC,0.16361371874809266
2018,2018-05-24,144,2018_18,5TM,5TM Moisture/Temp,15,soilT_C,22.213333384195963
2018,2018-05-24,144,2018_18,5TM,5TM Moisture/Temp,15,soilVWC,0.19259252945582073
2018,2018-05-24,144,2018_18,5TM,5TM Moisture/Temp,45,soilT_C,17.826666641235352
2018,2018-05-24,144,2018_18,5TM,5TM Moisture/Temp,45,soilVWC,0.2099010835091273
2018,2018-05-24,144,2018_24,5TM,5TM Moisture/Temp,15,soilT_C,21.64666659037272
2018,2018-05-24,144,2018_24,5TM,5TM Moisture/Temp,15,soilVWC,0.2425010492404302
2018,2018-05-24,144,2018_24,5TM,5TE Moisture/Temp/EC,45,soilT_C,17.173333104451498
2018,2018-05-24,144,2018_24,5TM,5TE Moisture/Temp/EC,45,soilVWC,0.26448232134183247
2018,2018-05-24,144,2018_24,5TM,5TE Moisture/Temp/EC,45,mS/cm EC Bulk,23.100000381469727
2018,2018-05-24,144,2018_28,5TM,5TM Moisture/Temp,15,soilT_C,21.840000025431316
2018,2018-05-24,144,2018_28,5TM,5TM Moisture/Temp,15,soilVWC,0.1869180868069331
2018,2018-05-24,144,2018_28,5TM,5TM Moisture/Temp,45,soilT_C,16.81333325703939
2018,2018-05-24,144,2018_28,5TM,5TM Moisture/Temp,45,soilVWC,0.2634587824344635
2018,2018-05-24,144,2018_34,5TM,5TM Moisture/Temp,15,soilT_C,20.499999872843425
2018,2018-05-24,144,2018_34,5TM,5TM Moisture/Temp,15,soilVWC,0.324889079729716
2018,2018-05-24,144,2018_34,5TM,5TM Moisture/Temp,45,soilT_C,17.506666946411134
2018,2018-05-24,144,2018_34,5TM,5TM Moisture/Temp,45,soilVWC,0.2841853479544322
2018,2018-05-24,144,2018_37,5TM,5TM Moisture/Temp,15,soilT_C,22.800000127156576
2018,2018-05-24,144,2018_37,5TM,5TM Moisture/Temp,15,soilVWC,0.18109549780686696
2018,2018-05-24,144,2018_37,5TM,5TM Moisture/Temp,45,soilT_C,18.813333129882814
2018,2018-05-24,144,2018_37,5TM,5TM Moisture/Temp,45,soilVWC,0.16762087742487589
2018,2018-05-24,144,2018_44,5TM,5TM Moisture/Temp,15,soilT_C,21.320000076293944
