year,doy,plot_id,organ,mass_gpl
2019,196,2019_19,stalkcobtass,27.67625
2019,196,2019_21,grain,0
2019,196,2019_21,grain500,0
2019,196,2019_21,leaf,18.62125
2019,196,2019_21,plant,48.485
2019,196,2019_21,stalkcobtass,29.86375
2019,196,2019_27,grain,0
2019,196,2019_27,grain500,0
2019,196,2019_27,leaf,22.665
2019,196,2019_27,plant,62.777499999999996
2019,196,2019_27,stalkcobtass,40.1125
2019,196,2019_31,grain,0
2019,196,2019_31,grain500,0
2019,196,2019_31,leaf,16.62
2019,196,2019_31,plant,32.24125
2019,196,2019_31,stalkcobtass,15.62125
2019,196,2019_35,grain,0
2019,196,2019_35,grain500,0
2019,196,2019_35,leaf,22.4275
2019,196,2019_35,plant,44.65875
2019,196,2019_35,stalkcobtass,22.23125
2019,196,2019_43,grain,0
2019,196,2019_43,grain500,0
2019,196,2019_43,leaf,18.7
2019,196,2019_43,plant,40.1875
2019,196,2019_43,stalkcobtass,21.4875
2019,196,2019_45,grain,0
2019,196,2019_45,grain500,0
2019,196,2019_45,leaf,22.49
2019,196,2019_45,plant,60.91875
2019,196,2019_45,stalkcobtass,38.42875
2019,205,2019_12,grain,0
2019,205,2019_12,grain500,0
2019,205,2019_12,leaf,41.875
2019,205,2019_12,plant,138
2019,205,2019_12,stalkcobtass,96.125
2019,205,2019_19,grain,0
2019,205,2019_19,grain500,0
2019,205,2019_19,leaf,37.375
2019,205,2019_19,plant,113.875
2019,205,2019_19,stalkcobtass,76.5
2019,205,2019_21,grain,0
2019,205,2019_21,grain500,0
2019,205,2019_21,leaf,36.75
2019,205,2019_21,plant,104.625
2019,205,2019_21,stalkcobtass,67.875
2019,205,2019_27,grain,0
2019,205,2019_27,grain500,0
2019,205,2019_27,leaf,38.875
2019,205,2019_27,plant,142.875
2019,205,2019_27,stalkcobtass,104
2019,205,2019_31,grain,0
2019,205,2019_31,grain500,0
2019,205,2019_31,leaf,36.75
2019,205,2019_31,plant,145.5
2019,205,2019_31,stalkcobtass,108.75
2019,205,2019_35,grain,0
2019,205,2019_35,grain500,0
2019,205,2019_35,leaf,33.25
2019,205,2019_35,plant,106
2019,205,2019_35,stalkcobtass,72.75
2019,205,2019_43,grain,0
2019,205,2019_43,grain500,0
2019,205,2019_43,leaf,40.625
2019,205,2019_43,plant,131.5
2019,205,2019_43,stalkcobtass,90.875
2019,205,2019_45,grain,0
2019,205,2019_45,grain500,0
2019,205,2019_45,leaf,34.875
2019,205,2019_45,plant,127.875
2019,205,2019_45,stalkcobtass,93
2019,213,2019_12,grain,0
2019,213,2019_12,grain500,0
2019,213,2019_12,leaf,32.875
2019,213,2019_12,plant,100.625
2019,213,2019_12,stalkcobtass,67.75
2019,213,2019_19,grain,0
2019,213,2019_19,grain500,0
2019,213,2019_19,leaf,39.125
2019,213,2019_19,plant,119.9375
2019,213,2019_19,stalkcobtass,80.8125
2019,213,2019_21,grain,0
2019,213,2019_21,grain500,0
2019,213,2019_21,leaf,34.125
2019,213,2019_21,plant,132.1875
2019,213,2019_21,stalkcobtass,98.0625
2019,213,2019_27,grain,0
2019,213,2019_27,grain500,0
2019,213,2019_27,leaf,38.3125
2019,213,2019_27,plant,111.1875
2019,213,2019_27,stalkcobtass,72.875
2019,213,2019_31,grain,0
2019,213,2019_31,grain500,0
2019,213,2019_31,leaf,42.75
2019,213,2019_31,plant,124.5625
2019,213,2019_31,stalkcobtass,81.8125
2019,213,2019_35,grain,0
2019,213,2019_35,grain500,0
2019,213,2019_35,leaf,40
2019,213,2019_35,plant,129.875
2019,213,2019_35,stalkcobtass,89.875
2019,213,2019_43,grain,0
2019,213,2019_43,grain500,0
2019,213,2019_43,leaf,40.125
2019,213,2019_43,plant,118.375
2019,213,2019_43,stalkcobtass,78.25
2019,213,2019_45,grain,0
2019,213,2019_45,grain500,0
2019,213,2019_45,leaf,44.3125
2019,213,2019_45,plant,133.125
2019,213,2019_45,stalkcobtass,88.8125
2019,231,2019_12,grain,0
2019,231,2019_12,grain500,0
2019,231,2019_12,leaf,46.375
2019,231,2019_12,plant,152.375
2019,231,2019_12,stalkcobtass,106
2019,231,2019_19,grain,0
2019,231,2019_19,grain500,0
2019,231,2019_19,leaf,42
2019,231,2019_19,plant,147.5
2019,231,2019_19,stalkcobtass,105.5
2019,231,2019_21,grain,0
2019,231,2019_21,grain500,0
2019,231,2019_21,leaf,30.75
2019,231,2019_21,plant,108
2019,231,2019_21,stalkcobtass,77.25
2019,231,2019_27,grain,0
2019,231,2019_27,grain500,0
2019,231,2019_27,leaf,40.375
2019,231,2019_27,plant,133.625
2019,231,2019_27,stalkcobtass,93.25
2019,231,2019_31,grain,0
2019,231,2019_31,grain500,0
2019,231,2019_31,leaf,39.25
2019,231,2019_31,plant,137.5
2019,231,2019_31,stalkcobtass,98.25
2019,231,2019_35,grain,0
2019,231,2019_35,grain500,0
2019,231,2019_35,leaf,45.25
2019,231,2019_35,plant,156
2019,231,2019_35,stalkcobtass,110.75
2019,231,2019_43,grain,0
2019,231,2019_43,grain500,0
2019,231,2019_43,leaf,45.375
2019,231,2019_43,plant,163.625
2019,231,2019_43,stalkcobtass,118.25
2019,231,2019_45,grain,0
2019,231,2019_45,grain500,0
2019,231,2019_45,leaf,42.375
2019,231,2019_45,plant,144.125
2019,231,2019_45,stalkcobtass,101.75
2019,263,2019_12,grain,136.0125
2019,263,2019_12,grain500,16.485
2019,263,2019_12,leaf,43.75
2019,263,2019_12,plant,281.84
2019,263,2019_12,stalkcobtass,102.0775
2019,263,2019_19,grain,151.39375
2019,263,2019_19,grain500,17.1175
2019,263,2019_19,leaf,34.125
2019,263,2019_19,plant,293.86375
2019,263,2019_19,stalkcobtass,108.345
2019,263,2019_21,grain,134.9675
2019,263,2019_21,grain500,17.10625
2019,263,2019_21,leaf,36.625
2019,263,2019_21,plant,274.205
2019,263,2019_21,stalkcobtass,102.6125
2019,263,2019_27,grain,160.72875
2019,263,2019_27,grain500,17.17375
2019,263,2019_27,leaf,42.625
2019,263,2019_27,plant,314.0475
2019,263,2019_27,stalkcobtass,110.69375
2019,263,2019_31,grain,147.905
2019,263,2019_31,grain500,17.57625
2019,263,2019_31,leaf,41.75
2019,263,2019_31,plant,291.875
2019,263,2019_31,stalkcobtass,102.22
2019,263,2019_35,grain,152.965
2019,263,2019_35,grain500,17.11875
2019,263,2019_35,leaf,38.25
2019,263,2019_35,plant,297.55
2019,263,2019_35,stalkcobtass,106.33500000000001
2019,263,2019_43,grain,168.6975
2019,263,2019_43,grain500,17.75875
2019,263,2019_43,leaf,41.25
2019,263,2019_43,plant,314.93375
2019,263,2019_43,stalkcobtass,104.98625
2019,263,2019_45,grain,149.7875
2019,263,2019_45,grain500,18.37125
2019,263,2019_45,leaf,44.875
2019,263,2019_45,plant,310.15375
2019,263,2019_45,stalkcobtass,115.49125000000001
2019,292,2019_12,grain,197.65
2019,292,2019_12,grain500,18.4875
2019,292,2019_12,leaf,39.125
2019,292,2019_12,plant,321.15
2019,292,2019_12,stalkcobtass,84.375
2019,292,2019_19,grain,184.4375
2019,292,2019_19,grain500,20.3875
2019,292,2019_19,leaf,34.75
2019,292,2019_19,plant,301.825
2019,292,2019_19,stalkcobtass,82.6375
2019,292,2019_21,grain,173.4625
2019,292,2019_21,grain500,19.7875
2019,292,2019_21,leaf,41.625
2019,292,2019_21,plant,302.0875
2019,292,2019_21,stalkcobtass,87
2019,292,2019_27,grain,171.375
2019,292,2019_27,grain500,18.05
2019,292,2019_27,leaf,37.625
2019,292,2019_27,plant,289.5
2019,292,2019_27,stalkcobtass,80.5
2019,292,2019_31,grain,193.25
2019,292,2019_31,grain500,22.3375
2019,292,2019_31,leaf,49.125
2019,292,2019_31,plant,325.85
2019,292,2019_31,stalkcobtass,83.475
2019,292,2019_35,grain,171.05
2019,292,2019_35,grain500,19.0875
2019,292,2019_35,leaf,37
2019,292,2019_35,plant,288.875
2019,292,2019_35,stalkcobtass,80.825
2019,292,2019_43,grain,179.15
2019,292,2019_43,grain500,18.5375
2019,292,2019_43,leaf,39.25
2019,292,2019_43,plant,298.525
2019,292,2019_43,stalkcobtass,80.125
2019,292,2019_45,grain,206.5375
2019,292,2019_45,grain500,19.65
2019,292,2019_45,leaf,45.375
2019,292,2019_45,plant,343.55
2019,292,2019_45,stalkcobtass,91.6375
