plot_id,doy,organ,mass_g,totC_g,totN_g,CN_ratio,N_prct
2013_45,216,stalk,255.5,113.341,1.091,103.92,0.43
2013_49,216,stalk,281.5,129.94,1.288,100.896,0.46
2013_14,243,stalk,230.5,102.964,0.712,144.704,0.31
2013_16,243,stalk,207.5,89.495,0.487,183.688,0.23
2013_19,243,stalk,228.5,101.431,0.749,135.335,0.33
2013_25,243,stalk,239,108.673,0.758,143.303,0.32
2013_27,243,stalk,224,99.717,0.657,151.865,0.29
2013_29,243,stalk,211.5,96.634,0.935,103.394,0.44
2013_32,243,stalk,237,107.195,0.69,155.269,0.29
2013_33,243,stalk,222.5,97.722,0.791,123.475,0.36
2013_35,243,stalk,189,84.181,0.465,181.204,0.25
2013_42,243,stalk,251.5,112.119,0.721,155.548,0.2866
2013_45,243,stalk,233.5,104.188,0.714,146.008,0.3056
2013_49,243,stalk,260.5,117.381,1.08,108.657,0.4147
2013_14,281,stalk,191,89.75,0.99,90.43,0.52
2013_16,281,stalk,197.5,89.39,0.82,108.88,0.42
2013_19,281,stalk,187,86.96,1.15,75.94,0.6123
2013_25,281,stalk,227,104.08,1.44,72.22,0.63
2013_27,281,stalk,192.5,89.13,1.06,84.04,0.55
2013_29,281,stalk,262,118.24,1.53,77.07,0.5856
2013_32,281,stalk,244.5,113.4,1.22,92.61,0.5
2013_33,281,stalk,171.5,81.43,0.89,91.86,0.52
2013_35,281,stalk,221,99.49,1.62,61.4,0.7332
2013_42,281,stalk,211.5,97.35,1.02,95.74,0.48
2013_45,281,stalk,164,75.83,0.68,111.05,0.42
2013_49,281,stalk,275,125.18,1.52,82.33,0.5529
NA,NA,stalk,NA,NA,NA,NA,NA
NA,NA,stalk,NA,NA,NA,NA,NA
NA,NA,stalk,NA,NA,NA,NA,NA
NA,NA,stalk,NA,NA,NA,NA,NA
2013_14,153,cobtassle,NA,NA,NA,NA,NA
2013_16,153,cobtassle,NA,NA,NA,NA,NA
2013_19,153,cobtassle,NA,NA,NA,NA,NA
2013_25,153,cobtassle,NA,NA,NA,NA,NA
2013_27,153,cobtassle,NA,NA,NA,NA,NA
2013_29,153,cobtassle,NA,NA,NA,NA,NA
2013_32,153,cobtassle,NA,NA,NA,NA,NA
2013_33,153,cobtassle,NA,NA,NA,NA,NA
2013_35,153,cobtassle,NA,NA,NA,NA,NA
2013_42,153,cobtassle,NA,NA,NA,NA,NA
2013_45,153,cobtassle,NA,NA,NA,NA,NA
2013_49,153,cobtassle,NA,NA,NA,NA,NA
2013_14,168,cobtassle,NA,NA,NA,NA,NA
2013_16,168,cobtassle,NA,NA,NA,NA,NA
2013_19,168,cobtassle,NA,NA,NA,NA,NA
2013_25,168,cobtassle,NA,NA,NA,NA,NA
2013_27,168,cobtassle,NA,NA,NA,NA,NA
2013_29,168,cobtassle,NA,NA,NA,NA,NA
2013_32,168,cobtassle,NA,NA,NA,NA,NA
2013_33,168,cobtassle,NA,NA,NA,NA,NA
2013_35,168,cobtassle,NA,NA,NA,NA,NA
2013_42,168,cobtassle,NA,NA,NA,NA,NA
2013_45,168,cobtassle,NA,NA,NA,NA,NA
2013_49,168,cobtassle,NA,NA,NA,NA,NA
2013_14,185,cobtassle,NA,NA,NA,NA,NA
2013_16,185,cobtassle,NA,NA,NA,NA,NA
2013_19,185,cobtassle,NA,NA,NA,NA,NA
2013_25,185,cobtassle,NA,NA,NA,NA,NA
2013_27,185,cobtassle,NA,NA,NA,NA,NA
2013_29,185,cobtassle,NA,NA,NA,NA,NA
2013_32,185,cobtassle,NA,NA,NA,NA,NA
2013_33,185,cobtassle,NA,NA,NA,NA,NA
2013_35,185,cobtassle,NA,NA,NA,NA,NA
2013_42,185,cobtassle,NA,NA,NA,NA,NA
2013_45,185,cobtassle,NA,NA,NA,NA,NA
