ID,block,system,depth,crop,date,wtPOMC,wtPOMN,pctTotalAg,PMN,FDA,whole_soil_N,whole_soil_C,SOM_vol,bulk_density,lengthpcm3soil,AvgDiam,rootpctC,root_CdN,sand,silt,clay,WFPS
37,3,4,0,O,4,2.977771,0.2802608,68.83,90.4482,1.438448104,0.25,3.1904,56.25422746,1.09,1.99,0.24,36.51,14.1,30,39,31,46.8640609
39,3,4,0,C,4,1.9873854,0.1548612,60.57,53.5236,0.726493843,0.26,2.8862,37.26301188,0.78,1.69,0.19,38.69,18.08,32,39,29,30.93867914
41,3,3,0,O,4,2.7836802,0.2257038,76.28,78.1746,1.617112071,0.26,3.352,52.4338062,0.98,3.1,0.24,41.5,17.08,29,43,28,43.65137126
43,3,2,0,S,4,3.107972,0.246176,64.79,75.6462,1.370149324,0.24,3.2018,50.71147289,0.98,2.03,0.21,39.98,18.01,36,38,26,44.64662874
45,3,2,0,C,4,2.6971545,0.2365925,59.8,38.1578,1.041507427,0.19,2.3632,40.84297548,1.01,2.88,0.2,40,18.1,46,35,19,38.31964634
47,3,3,0,C,4,2.0101038,0.1402398,52.55,50.2452,0.67139595,0.17,2.2354,39.2905688,1.02,1.47,0.19,40.31,17.92,45,33,22,39.1188773
49,3,4,0,A,4,2.305149857,0.179844048,37.81,40.6638,1.232414671,0.17,2.25,47.65219875,1.23,2.18,0.28,41.78,17.63,45,33,22,46.48230634
51,3,3,0,S,4,1.716639276,0.127067499,54.69,28.566,0.026127651,0.18,2.2894,42.48324388,1.08,2.43,0.21,39,14.61,44,36,20,42.34666242
53,3,4,0,S,4,1.745790958,0.120623548,62.88,27.2571,0.967297642,0.2,2.6402,38.65592427,0.87,2.55,0.21,39.1,21.97,36,40,24,35.65753652
55,4,4,0,S,4,1.601442007,0.114831403,64.14,45.695,0.448334694,0.21,2.739,43.50834672,0.95,3.21,0.25,38.44,19.12,38,36,26,40.81311765
57,4,3,0,O,4,2.610375635,0.200829583,66.13,38.0813,1.087200576,0.23,2.9932,52.60245737,1.07,4.45,0.24,40.18,13.05,38,34,28,45.87049367
59,4,4,0,O,4,2.896559682,0.229782868,70.53,62.0136,0.972982825,0.26,3.256,51.86699599,0.99,1.57,0.25,39.66,13.58,30,40,30,43.73026807
61,4,2,0,S,4,3.433400014,0.25223525,69.86,39.9765,1.340886758,0.34,4.2394,53.83672262,0.87,3.03,0.24,43.59,17.16,30,41,29,43.42888483
63,4,2,0,C,4,2.486797376,0.180459472,60.94,21.717,0.98155092,0.21,2.5776,41.37270052,0.95,2.29,0.21,40.87,23.22,42,31,27,36.79992647
65,4,4,0,A,4,3.71609515,0.296736476,60.16,72.3313,.,0.25,3.1272,57.44999584,1.13,3.83,0.25,41.17,13.54,33,38,29,49.13344079
67,4,3,0,C,4,.,.,.,.,.,.,.,.,0.93,1.46,0.19,39.5,18.99,29,39,32,43.34367733
69,4,3,0,S,4,3.608420271,0.212512772,54.97,30.1824,0.725042307,0.37,5.074,47.10717464,0.72,1.74,0.23,43.72,16.31,21,47,32,34.99647668
71,4,4,0,C,4,2.883704394,0.222865083,79.25,42.2864,0.877957608,0.34,4.0502,64.03136614,1.07,1.03,0.27,44.18,38.75,22,43,35,8.524446203
1,1,3,0,O,5,2.254187056,0.158733465,53.104,57.58331445,1.029882024,0.22,2.83,.,1.065518151,.,.,.,.,35,41,24,45.5274278
3,1,4,0,A,5,2.782717447,0.191961152,76.541,62.25512534,0.814806665,0.23,2.8175,.,0.926260054,.,.,.,.,34,38,28,28.9499936
5,1,2,0,C,5,3.035261644,0.196110427,79.085,41.90255978,0.964215657,0.25,3.1195,.,1.009959064,.,.,.,.,37,35,28,39.63708751
7,1,4,0,S,5,2.010391732,0.150552263,67.084,41.01755731,1.100872791,0.21,2.542,.,0.991152958,.,.,.,.,40,35,25,39.33063051
9,1,3,0,S,5,2.220464212,0.155635402,66.884,53.99800828,1.011799873,0.22,2.684,.,0.955995617,.,.,.,.,39,36,25,34.19191782
11,1,3,0,C,5,2.281255867,0.161597266,62.405,44.99857604,1.350083097,0.21,2.7028,.,0.913471003,.,.,.,.,38,35,27,30.89701908
13,1,4,0,O,5,1.856054912,0.122901902,66.403,51.13055156,1.200709828,0.2,2.6042,.,1.068690305,.,.,.,.,40,34,26,40.05731036
15,1,4,0,C,5,1.71923785,0.123972346,.,24.26908229,0.734986433,.,.,.,0.971866515,.,.,.,.,39,38,23,25.20459029
17,1,2,0,S,5,2.735651038,0.187025175,72.432,37.26603338,0.99291379,0.22,2.9078,.,1.004693358,.,.,.,.,31,43,26,40.52223434
19,2,4,0,A,5,2.094246827,0.140490787,59.285,32.41553684,0.874325809,0.17,2.1224,.,1.108823706,.,.,.,.,39,38,23,28.63456058
21,2,4,0,O,5,2.34534764,0.151206048,63.007,22.03459201,0.817320072,0.17,2.0666,.,1.187998612,.,.,.,.,38,38,24,40.51692405
