data from Will Osterholz,,,,,,,,
year,weird_date,date,plot,block,system,0-10cm_soilH2O_g.g,10-30cm_soilH2O_g.g,0-30cm_soilH2O_g.g
2014,8.7,8/7/2014,48,4,3,0.35577,0.29453,0.34029
2014,8.15,8/15/2014,11,1,3,0.27373,0.22318,0.25925
2014,8.15,8/15/2014,13,1,2,0.20719,0.17562,0.20123
2014,8.15,8/15/2014,18,1,4,0.21142,0.1687,0.19749
2014,8.15,8/15/2014,23,2,3,0.2306,0.18427,0.21561
2014,8.15,8/15/2014,24,2,2,0.19456,0.18595,0.20467
2014,8.15,8/15/2014,28,2,4,0.26813,0.23542,0.2665
2014,8.15,8/15/2014,34,3,2,0.22814,0.18519,0.21546
2014,8.15,8/15/2014,37,3,4,0.23226,0.19751,0.22605
2014,8.15,8/15/2014,38,3,3,0.23656,0.19543,0.22595
2014,8.15,8/15/2014,44,4,2,0.28668,0.25602,0.28815
2014,8.15,8/15/2014,46,4,4,0.24512,0.20675,0.23731
2014,8.15,8/15/2014,48,4,3,0.30734,0.23077,0.27629
2014,9.2,9/2/2014,11,1,3,0.26698,0.26437,0.28772
2014,9.2,9/2/2014,13,1,2,0.27354,0.24902,0.27849
2014,9.2,9/2/2014,18,1,4,0.25652,0.2341,0.26158
2014,9.2,9/2/2014,23,2,3,0.25706,0.2478,0.272
2014,9.2,9/2/2014,24,2,2,0.25838,0.28571,0.30075
2014,9.2,9/2/2014,28,2,4,0.32206,0.31551,0.34454
2014,9.2,9/2/2014,34,3,2,0.27878,0.23546,0.27013
2014,9.2,9/2/2014,37,3,4,0.2311,0.23049,0.25029
2014,9.2,9/2/2014,38,3,3,0.2561,0.2607,0.2813
2014,9.2,9/2/2014,44,4,2,0.30155,0.3071,0.33132
2014,9.2,9/2/2014,46,4,4,0.32681,0.32821,0.35563
2014,9.2,9/2/2014,48,4,3,0.3719,0.35459,0.39059
2014,9.16,9/16/2014,11,1,3,0.25526,0.25943,0.28007
2014,9.16,9/16/2014,13,1,2,0.3,0.26866,0.3021
2014,9.16,9/16/2014,18,1,4,0.27597,0.28455,0.30584
2014,9.16,9/16/2014,23,2,3,0.25039,0.27286,0.28845
2014,9.16,9/16/2014,24,2,2,0.24012,0.27564,0.28705
2014,9.16,9/16/2014,28,2,4,0.32759,0.33226,0.35892
2014,9.16,9/16/2014,34,3,2,0.28549,0.25444,0.28657
2014,9.16,9/16/2014,37,3,4,0.24844,0.25036,0.27099
2014,9.16,9/16/2014,38,3,3,0.26941,0.29571,0.31195
2014,9.16,9/16/2014,44,4,2,0.2953,0.29323,0.31886
2014,9.16,9/16/2014,46,4,4,0.31356,0.30323,0.3325
2014,9.16,9/16/2014,48,4,3,0.3255,0.33333,0.35902
2014,10.8,10/8/2014,11,1,3,0.26737,0.27326,0.2945
2014,10.8,10/8/2014,13,1,2,0.24713,0.23944,0.26239
2014,10.8,10/8/2014,18,1,4,0.28205,0.28906,0.31126
2014,10.8,10/8/2014,23,2,3,0.24635,0.26437,0.28074
2014,10.8,10/8/2014,24,2,2,0.26994,0.2995,0.31496
2014,10.8,10/8/2014,28,2,4,0.28409,0.30526,0.32405
2014,10.8,10/8/2014,34,3,2,0.24721,0.23016,0.25549
2014,10.8,10/8/2014,37,3,4,0.22665,0.24688,0.26102
2014,10.8,10/8/2014,38,3,3,0.22698,0.26614,0.27552
2014,10.8,10/8/2014,44,4,2,0.28978,0.25854,0.29108
2014,10.8,10/8/2014,46,4,4,0.29061,0.29705,0.32012
2014,10.8,10/8/2014,48,4,3,0.32941,0.32601,0.35487
